연번,호선,보관함명
1,1,서울역1~22
2,1,서울역23~44
3,1,서울역45~64
4,1,시청29~44
5,1,시청1~28
6,1,종각1~25
7,1,종각26~50
8,1,종로3가1~25
9,1,종로3가26~34
10,1,종로5가1~19
11,1,종로5가20~32
12,1,동대문1~25
13,1,신설동1~9
14,1,제기동
15,1,청량리
16,1,동묘앞1~9
17,2,시청45~69
18,2,을지로입구1~25
19,2,을지로입구26~50
20,2,을지로3가1~26
21,2,을지로4가1~13
22,2,동대문역사문화공원1~36
23,2,동대문역사문화공원37~60
24,2,신당1~13
25,2,상왕십리
26,2,왕십리
27,2,한양대
28,2,뚝섬1~39
29,2,성수1~28
30,2,성수29~45
31,2,건대입구1~22
32,2,건대입구23~44
33,2,건대입구45~66
34,2,구의
35,2,강변1~21
36,2,강변22~59
37,2,잠실나루
38,2,잠실1~47
39,2,잠실48~73
40,2,잠실74~95
41,2,잠실96~108
42,2,잠실새내
43,2,종합운동장1~39
44,2,종합운동장40~92
45,2,삼성1~30
46,2,삼성31~47
47,2,삼성48~64
48,2,선릉1~17
49,2,선릉18~34
50,2,역삼
51,2,강남1~52
52,2,강남53~78
53,2,교대1~22
54,2,서초
55,2,방배
56,2,사당1~26
57,2,낙성대
58,2,서울대입구
59,2,봉천
60,2,신림1~21
61,2,신림22~50
62,2,신대방
63,2,구로디지털단지
64,2,대림1~17
65,2,신도림1~32
66,2,신도림33~53
67,2,신도림54~79
68,2,문래
69,2,영등포구청1~13
70,2,당산
71,2,합정1~25
72,2,홍대입구1~33
73,2,홍대입구34~65
74,2,홍대입구66~113
75,2,홍대입구114~143
76,2,홍대입구144~171
77,2,신촌1~22
78,2,신촌23~49
79,2,신촌50~71
80,2,이대
81,2,아현
82,2,충정로(1~15)
83,2,용답
84,2,신답
85,2,신설동10~18
86,2,도림천
87,2,양천구청
88,2,신정네거리
89,2,용두
90,3,지축
91,3,구파발
92,3,연신내
93,3,불광1~9
94,3,녹번
95,3,홍제1~9
96,3,홍제10~18
97,3,무악재
98,3,독립문
99,3,경복궁52~76
100,3,경복궁1~29
101,3,경복궁30~51
102,3,안국43~83
103,3,안국1~42
104,3,종로3가35~51
105,3,을지로3가27~39
106,3,동대입구
107,3,약수1~9
108,3,금호
109,3,옥수
110,3,압구정1~26
111,3,압구정27~43
112,3,신사1~45
113,3,신사46~68
114,3,잠원
115,3,고속터미널1~17
116,3,고속터미널18~72
117,3,교대23~35
118,3,남부터미널
119,3,양재1~13
120,3,양재14~26
121,3,매봉
122,3,도곡
123,3,대치
124,3,학여울
125,3,대청
126,3,일원
127,3,수서
128,3,가락시장1~13
129,3,경찰병원
130,3,오금
131,4,당고개
132,4,상계
133,4,노원1~21
134,4,창동
135,4,쌍문
136,4,수유
137,4,미아
138,4,미아사거리1~13
139,4,미아사거리14~26
140,4,길음
141,4,성신여대입구1~13
142,4,성신여대입구14~42
143,4,한성대입구
144,4,혜화1~43
145,4,혜화44~81
146,4,혜화82~102
147,4,혜화103~128
148,4,동대문26~51
149,4,동대문52~72
150,4,동대문역사문화공원61~68
151,4,충무로1~21
152,4,충무로22~34
153,4,명동1~13
154,4,명동14~43
155,4,명동44~85
156,4,명동86~126
157,4,회현1~22
158,4,회현23~46
159,4,서울역65~90
160,4,숙대입구
161,4,삼각지1~13
162,4,신용산
163,4,이촌
164,4,동작
165,4,총신대입구1~13
166,4,총신대입구14~26
167,4,사당27~39
168,4,사당40~52
169,4,남태령
170,5,방화
171,5,개화산
172,5,김포공항
173,5,송정
174,5,마곡
175,5,발산
176,5,우장산
177,5,화곡
178,5,까치산
179,5,신정
180,5,목동
181,5,오목교1~8
182,5,오목교9~17
183,5,양평
184,5,영등포구청14~22
185,5,영등포시장
186,5,신길
187,5,여의도
188,5,여의나루1~40
189,5,여의나루41~56
190,5,마포
191,5,공덕22~43
192,5,애오개
193,5,충정로B
194,5,서대문
195,5,광화문1~46
196,5,광화문47~59
197,5,광화문60~88
198,5,종로3가52~68
199,5,을지로4가14~26
200,5,동대문역사문화공원89~97
201,5,청구
202,5,신금호
203,5,행당
204,5,왕십리18~30
205,5,왕십리31~43
206,5,마장
207,5,답십리
208,5,장한평
209,5,군자
210,5,아차산
211,5,광나루
212,5,천호1~21
213,5,천호22~39
214,5,강동
215,5,길동
216,5,굽은다리
217,5,명일
218,5,고덕
219,5,상일동
220,5,둔촌동
221,5,올림픽공원1~50
222,5,방이
223,5,개롱
224,5,거여
225,5,마천
226,6,응암
227,6,역촌
228,6,불광10~18
229,6,독바위
230,6,구산
231,6,새절
232,6,증산
233,6,디지털미디어시티
234,6,월드컵경기장
235,6,마포구청
236,6,망원
237,6,합정26~50
238,6,상수
239,6,광흥창
240,6,대흥
241,6,공덕
242,6,효창공원앞
243,6,삼각지14~22
244,6,녹사평
245,6,이태원22~51
246,6,이태원1~21
247,6,한강진
248,6,버티고개
249,6,약수10~18
250,6,신당14~22
251,6,동묘앞10~26
252,6,창신
253,6,보문
254,6,안암
255,6,고려대
256,6,월곡
257,6,상월곡
258,6,돌곶이
259,6,석계
260,6,화랑대
261,6,봉화산
262,7,도봉산
263,7,수락산
264,7,마들
265,7,노원22~42
266,7,중계
267,7,하계
268,7,공릉
269,7,태릉입구
270,7,먹골
271,7,중화
272,7,상봉
273,7,면목
274,7,사가정
275,7,용마산
276,7,중곡
277,7,어린이대공원
278,7,건대입구67~79
279,7,건대입구80~105
280,7,뚝섬유원지
281,7,청담1~13
282,7,청담14~26
283,7,강남구청
284,7,학동
285,7,논현
286,7,반포
287,7,고속터미널73~98
288,7,내방
289,7,이수
290,7,남성
291,7,숭실대입구
292,7,상도
293,7,장승배기
294,7,신대방삼거리
295,7,보라매
296,7,신풍
297,7,대림18~30
298,7,남구로
299,7,가산디지털단지
300,7,철산
301,7,광명사거리
302,7,천왕
303,7,온수
304,8,암사
305,8,강동구청
306,8,몽촌토성
307,8,잠실109~125
308,8,석촌1~9
309,8,송파
310,8,가락시장14~22
311,8,문정
312,8,장지
313,8,복정
314,8,산성
315,8,남한산성입구
316,8,단대오거리
317,8,신흥
318,8,수진
319,8,모란
320,9,삼전
321,9,석촌고분
322,9,석촌10~18
323,9,송파나루
324,9,한성백제
325,9,올림픽공원51~92
326,9,둔촌오륜
327,9,중앙보훈병원